event_id,family,event_date,endpoint_class,endpoint_source,collapse_rule,control_pool_id,include_primary,start_ts_utc,collapse_ts_utc,window_end_ts_utc,primary_symbols,context_symbols,tracked_symbols,available_primary_symbols,missing_primary_symbols,available_context_symbols,missing_context_symbols,n_rows,n_primary_rows,n_context_rows,slice_path,coverage_status_primary,coverage_status_context,coverage_status,notes
volmageddon_2018_xiv,equity_dislocations_intraday_v1,2018-02-05,xiv_acceleration,sec_spdji_xiv_order_2021,first public dissemination of XIV Closing Indicative Value below 20% of prior-day Closing Indicative Value,us_equity_dislocation_controls_v1,True,2018-02-05T09:00:00Z,2018-02-05T22:09:00Z,2018-02-06T01:00:00Z,SPY|QQQ|IWM|VXX|UVXY|SVXY,VIX|VIX9D|VVIX,SPY|QQQ|IWM|VXX|UVXY|SVXY|VIX|VIX9D|VVIX,SPY|QQQ|IWM|VXX|UVXY|SVXY,,,VIX|VIX9D|VVIX,4289,4289,0,data/public/equity_events/processed/event_windows/volmageddon_2018_xiv.window.csv,present_primary,missing_context,present_primary,Primary flagship event. Secondary robustness anchors: 2018-02-05T16:15:00-05:00 and 2018-02-06T04:00:00-05:00.
covid_mwcb_2020_03_18,equity_dislocations_intraday_v1,2020-03-18,mwcb_level1,nyse_mwcb_report_2021,first Level 1 market-wide circuit breaker halt,us_equity_dislocation_controls_v1,True,2020-03-18T08:00:00Z,2020-03-18T16:56:17Z,2020-03-19T00:00:00Z,SPY|QQQ|IWM|VXX|UVXY|SVXY,VIX|VIX9D|VVIX,SPY|QQQ|IWM|VXX|UVXY|SVXY|VIX|VIX9D|VVIX,SPY|QQQ|IWM|VXX|UVXY|SVXY,,,VIX|VIX9D|VVIX,4819,4819,0,data/public/equity_events/processed/event_windows/covid_mwcb_2020_03_18.window.csv,present_primary,missing_context,present_primary,Primary flagship event.
