family,config_id,window,threshold_a,threshold_b,n_events,n_event_success,n_event_fail,event_success_rate,event_success_ids,event_fail_ids,median_lead_minutes,median_lead_bars,n_controls,n_controls_with_alarm,n_controls_without_alarm,control_alarm_ids,control_silent_ids,control_window_fp_rate,control_row_fp_rate,control_window_fp_accepted,total_control_alarm_rows,total_control_rows
ac1,ac1_w45_a0.3,45,0.3,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],409.14166666666665,409.14166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.09320151873343363,False,1301,13959
ac1,ac1_w45_a0.4,45,0.4,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.04427251235761874,False,618,13959
ac1,ac1_w45_a0.5,45,0.5,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,11,5,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'covid_noncollapse_2020_03_26']",0.6875,0.016548463356973995,False,231,13959
ac1,ac1_w45_a0.6,45,0.6,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,3,13,"['covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.1875,0.0025073429328748478,False,35,13959
ac1,ac1_w60_a0.2,60,0.2,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],487.14166666666665,487.14166666666665,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.22315352102586145,False,3115,13959
ac1,ac1_w60_a0.3,60,0.3,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,15,1,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",['volmageddon_control_2018_01_31'],0.9375,0.10588151013682928,False,1478,13959
ac1,ac1_w60_a0.4,60,0.4,,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],370.64166666666665,370.64166666666665,16,13,3,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01']",0.8125,0.051866179525753994,False,724,13959
ac1,ac1_w60_a0.5,60,0.5,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,9,7,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_27']","['volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_26']",0.5625,0.018912529550827423,False,264,13959
ac1,ac1_w60_a0.6,60,0.6,,2,0,2,0.0,[],"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",,,16,3,13,"['covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24']","['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",0.1875,0.002220789454832008,False,31,13959
cusum,cusum_w16_a0.25_b2.0,16,0.25,2.0,2,2,0,1.0,"['volmageddon_2018_xiv', 'covid_mwcb_2020_03_18']",[],583.1416666666667,583.1416666666667,16,16,0,"['volmageddon_control_2018_01_24', 'volmageddon_control_2018_01_26', 'volmageddon_control_2018_01_29', 'volmageddon_control_2018_01_30', 'volmageddon_control_2018_01_31', 'volmageddon_control_2018_02_01', 'volmageddon_control_2018_02_02', 'volmageddon_control_2018_02_06', 'covid_noncollapse_2020_03_17', 'covid_noncollapse_2020_03_19', 'covid_noncollapse_2020_03_20', 'covid_noncollapse_2020_03_23', 'covid_noncollapse_2020_03_24', 'covid_noncollapse_2020_03_25', 'covid_noncollapse_2020_03_26', 'covid_noncollapse_2020_03_27']",[],1.0,0.14950927716885162,False,2087,13959
