regime,generation,mean_perplexity_mean,mean_perplexity_std,gap_mean,G_amplification_mean,p_persistence_mean,delta_diversity,cross_run_std
no_preservation,0,33.849599999999995,0.03850064934517352,0.0,,0.0,25.973587900676822,0.03850064934517352
no_preservation,1,60.69,0.39468215059716255,26.8404,,1.0,2.5336843799167976,0.39468215059716255
no_preservation,2,53.964800000000004,0.5191104892024455,20.115199999999998,-33.565599999999996,0.7495931862535892,1.9263721708578587,0.5191104892024455
no_preservation,3,53.6044,0.5111543798110311,19.7548,6.3648,0.7359677540010583,1.956356121549209,0.5111543798110311
no_preservation,4,53.7958,0.8537673570709985,19.946199999999997,0.5518000000000001,0.7430667752010264,1.1712792621056383,0.8537673570709985
no_preservation,5,53.3128,0.831964362217516,19.4632,-0.6744,0.7251593041751321,1.201974562149035,0.831964362217516
no_preservation,6,52.968,0.6058027731861265,19.1184,0.1382000000000005,0.7124249223297924,1.6507022487544152,0.6058027731861265
no_preservation,7,52.83,0.5991005758635184,18.9804,0.20679999999999837,0.7071437618791248,1.6691688178710928,0.5991005758635184
no_preservation,8,52.73780000000001,0.27450992696075616,18.8882,0.045800000000002686,0.7037277097761934,3.642855510077636,0.27450992696075616
no_preservation,9,52.2702,0.5373496999161705,18.4206,-0.37540000000000334,0.6864593122546704,1.8609855000496054,0.5373496999161705
ten_pct_preservation,0,33.8478,0.011627553483000009,0.0,,0.0,86.00261451921453,0.011627553483000009
ten_pct_preservation,1,40.825,0.8721462033397852,6.977199999999999,,1.0,1.1465967473923675,0.8721462033397852
ten_pct_preservation,2,38.962,1.4673377252698179,5.1141999999999985,-8.8402,0.7243324018214624,0.6815063654252584,1.4673377252698179
ten_pct_preservation,3,38.0342,1.8517053491309052,4.186399999999999,0.9352000000000018,0.5901524914832657,0.5400427235733527,1.8517053491309052
ten_pct_preservation,4,37.5032,1.330066990794074,3.655399999999999,0.39679999999999893,0.5206514788142157,0.7518418297133905,1.330066990794074
ten_pct_preservation,5,37.001400000000004,0.3066998532767813,3.1535999999999986,0.02920000000000016,0.45561323944021115,3.2605167212047865,0.3066998532767813
ten_pct_preservation,6,37.006600000000006,0.10768843949096983,3.1587999999999994,0.5070000000000008,0.45809143469461977,9.286047831381701,0.10768843949096983
ten_pct_preservation,7,36.8748,0.044527519580592936,3.0269999999999997,-0.13700000000000045,0.43951983607120326,22.45802167780853,0.044527519580592936
ten_pct_preservation,8,37.022400000000005,0.13239826282848574,3.1746000000000008,0.2794000000000011,0.4609408059363302,7.552969190354423,0.13239826282848574
ten_pct_preservation,9,36.964600000000004,0.172122921192968,3.116799999999999,-0.20540000000000305,0.4536469566222605,5.80980146670236,0.172122921192968
