run,generation,mean_perplexity,regime,baseline,gap,G_amplification,p_persistence,cross_run_std,delta_diversity,window_class
1,0,33.888,no_preservation,33.888,0.0,,0.0,0.0385006493451735,25.973587900676826,control
1,1,60.652,no_preservation,33.888,26.764000000000003,,1.0,0.3946821505971625,2.5336843799167976,event
1,2,54.21,no_preservation,33.888,20.322000000000003,-33.205999999999996,0.7593035420714392,0.5191104892024455,1.9263721708578587,event
1,3,53.942,no_preservation,33.888,20.054,6.1739999999999995,0.7492900911672395,0.5111543798110311,1.956356121549209,event
1,4,54.133,no_preservation,33.888,20.245000000000005,0.4590000000000032,0.7564265431176208,0.8537673570709985,1.1712792621056385,event
1,5,53.29,no_preservation,33.888,19.402,-1.034000000000006,0.7249290091167239,0.831964362217516,1.201974562149035,event
1,6,53.252,no_preservation,33.888,19.364000000000004,0.8050000000000068,0.7235091914512032,0.6058027731861265,1.6507022487544152,event
1,7,52.485,no_preservation,33.888,18.597,-0.7290000000000063,0.694851292781348,0.5991005758635184,1.6691688178710928,event
1,8,52.638,no_preservation,33.888,18.75,0.9200000000000016,0.7005679270662083,0.2745099269607561,3.642855510077636,event
1,9,52.37,no_preservation,33.888,18.482,-0.4209999999999994,0.6905544761620086,0.5373496999161705,1.8609855000496056,event
2,0,33.811,no_preservation,33.811,0.0,,0.0,0.0385006493451735,25.973587900676826,control
2,1,61.38,no_preservation,33.811,27.569000000000003,,1.0,0.3946821505971625,2.5336843799167976,event
2,2,53.75,no_preservation,33.811,19.939,-35.199000000000005,0.7232398708694547,0.5191104892024455,1.9263721708578587,event
2,3,54.172,no_preservation,33.811,20.360999999999997,8.052,0.7385469186405018,0.5111543798110311,1.956356121549209,event
2,4,54.632,no_preservation,33.811,20.821,0.0380000000000038,0.7552323261634443,0.8537673570709985,1.1712792621056385,event
2,5,53.827,no_preservation,33.811,20.016,-1.2650000000000006,0.7260328629982951,0.831964362217516,1.201974562149035,event
2,6,52.945,no_preservation,33.811,19.134,-0.0769999999999981,0.6940404077043055,0.6058027731861265,1.6507022487544152,event
2,7,53.482,no_preservation,33.811,19.671,1.418999999999997,0.7135188073560883,0.5991005758635184,1.6691688178710928,event
2,8,53.213,no_preservation,33.811,19.402,-0.8059999999999974,0.703761471217672,0.2745099269607561,3.642855510077636,event
2,9,52.025,no_preservation,33.811,18.214,-0.919000000000004,0.6606695926584206,0.5373496999161705,1.8609855000496056,event
3,0,33.888,no_preservation,33.888,0.0,,0.0,0.0385006493451735,25.973587900676826,control
3,1,60.498,no_preservation,33.888,26.61,,1.0,0.3946821505971625,2.5336843799167976,event
3,2,54.172,no_preservation,33.888,20.284,-32.936,0.7622698233746712,0.5191104892024455,1.9263721708578587,event
