benchmark_id,domain,horizon,witness,effect_measure,n_event_units,n_control_units,n_event_rows,n_control_rows,point_estimate,ci_lower_percentile,ci_upper_percentile,ci_lower_bca,ci_upper_bca,n_iterations
volmageddon_covid_public_v2,markets,,G,cohens_d,16,38,493,1120,-0.029271221599338895,-0.18043325203261307,0.1332584326061437,-0.16858902031715894,0.1469210611741452,10000
volmageddon_covid_public_v2,markets,,G,glasss_d,16,38,493,1120,-0.028472477433947825,-0.16321946563034356,0.14202888306064448,-0.15517548273258822,0.15981408911536146,10000
volmageddon_covid_public_v2,markets,,G,rank_auc,16,38,493,1120,0.5073076644450883,0.45916791722200256,0.5551640955316614,0.4591972379312579,0.5552159880098335,10000
volmageddon_covid_public_v2,markets,,p,cohens_d,16,38,493,1120,0.09660381782173562,-0.589485762826312,0.6948671147959571,-0.4884209341100511,0.9408731645423928,10000
volmageddon_covid_public_v2,markets,,p,glasss_d,16,38,493,1120,0.1187795543427327,-0.49224635095386854,1.355582973659643,-0.4122848245226754,2.094411065998465,10000
volmageddon_covid_public_v2,markets,,p,rank_auc,16,38,493,1120,0.48233392494929006,0.38499013805556725,0.5912238486212371,0.39791219219954216,0.6141262472060705,10000
volmageddon_covid_public_v2,markets,,delta,cohens_d,16,38,493,1120,0.02860177445511906,-0.5688019213704443,0.6162957287002773,-0.5682073609744931,0.6166785998220767,10000
volmageddon_covid_public_v2,markets,,delta,glasss_d,16,38,493,1120,0.028687861577463666,-0.5613206825288626,0.6193412844848668,-0.5631588067161976,0.617441421819644,10000
volmageddon_covid_public_v2,markets,,delta,rank_auc,16,38,493,1120,0.5162289915966387,0.35254096319529027,0.6795349953524157,0.35271667220612435,0.6799226799096201,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,G,cohens_d,33777,6562,337770,65620,-0.2135513948289796,-0.23575486123443118,-0.19196498082133387,-0.2352520098859365,-0.19162748900502333,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,G,glasss_d,33777,6562,337770,65620,-0.21289509765307854,-0.2335815150840318,-0.1924967684866293,-0.23338840830388488,-0.19230630130063803,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,G,rank_auc,33777,6562,337770,65620,0.4412194379640271,0.43579819085851346,0.44656044320176175,0.4358650021091598,0.44664261971689134,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,p,cohens_d,33777,6562,337770,65620,0.17963871157060815,0.15491437665717345,0.20458222906532886,0.1547740255175362,0.20450854071236232,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,p,glasss_d,33777,6562,337770,65620,0.17155974247183267,0.1472734394643888,0.1973365137069103,0.14676870995475297,0.19691252479945384,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,p,rank_auc,33777,6562,337770,65620,0.5553796602845508,0.5489232208902525,0.5615812325796062,0.5490083610114022,0.5616634014462109,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,delta,cohens_d,33777,6562,337770,65620,-0.26784295585086115,-0.2991447676684114,-0.23697111174347213,-0.29903131658643434,-0.2367491325051016,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,delta,glasss_d,33777,6562,337770,65620,-0.2186175310789098,-0.24624706457374423,-0.19089883069788605,-0.2454088769518159,-0.18968802262352766,10000
movielens25m_recursive_frontier_public_v1__horizon_40,recsys,40,delta,rank_auc,33777,6562,337770,65620,0.41480328823511453,0.4068372114346407,0.4229382827770994,0.406846617510153,0.4229405979380984,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,G,cohens_d,35584,4755,355840,47550,0.10016812804640576,0.07579862296928541,0.12423882073957532,0.07559456382436172,0.12404845954935836,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,G,glasss_d,35584,4755,355840,47550,0.11157306864980841,0.08416237578825692,0.13949232990318736,0.08398906956958438,0.13943428611757042,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,G,rank_auc,35584,4755,355840,47550,0.5188958398935426,0.5132038353975238,0.524571145348853,0.5132097630497547,0.5245825697447686,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,p,cohens_d,35584,4755,355840,47550,0.08038712190075543,0.04909602085028115,0.11152508434494676,0.04858537664644055,0.11121774914456631,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,p,glasss_d,35584,4755,355840,47550,0.07255992091882618,0.04321105066033054,0.10178288700783412,0.04320708619690426,0.10178175051007429,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,p,rank_auc,35584,4755,355840,47550,0.5310955733835644,0.5231330219642307,0.5390077538260205,0.5230090859815514,0.5389122151488602,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,delta,cohens_d,35584,4755,355840,47550,-0.16814823528240852,-0.20745445972599466,-0.1281165296733723,-0.20774048585234453,-0.1283753870239177,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,delta,glasss_d,35584,4755,355840,47550,-0.1250833649858421,-0.15536550080035527,-0.0951867217030798,-0.15473990663293563,-0.09455348695014973,10000
movielens25m_recursive_frontier_public_v1__canonical_h50,recsys,50,delta,rank_auc,35584,4755,355840,47550,0.4569810853210176,0.4467495599902176,0.4670985863458287,0.44711688664126176,0.46744272443728674,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,G,cohens_d,36343,3996,363430,39960,0.3325207156608124,0.3101473507188289,0.3539722415133565,0.31018564424318285,0.3540229262672882,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,G,glasss_d,36343,3996,363430,39960,0.45297941161033334,0.4123111959119475,0.49614577503937446,0.4105110561309455,0.4946009777927116,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,G,rank_auc,36343,3996,363430,39960,0.5752160910532192,0.5700473973452376,0.5803979031293766,0.5699853883104892,0.5803606716242995,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,p,cohens_d,36343,3996,363430,39960,0.00745325849392292,-0.02818714354764031,0.04341377062829931,-0.028411439178139767,0.04320789102128435,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,p,glasss_d,36343,3996,363430,39960,0.006485721938787129,-0.025232839341995404,0.038508255353649906,-0.02572262166570745,0.037908355058449486,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,p,rank_auc,36343,3996,363430,39960,0.5128207475147051,0.503869440962645,0.5216756689594486,0.5039675906460132,0.5217553906625142,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,delta,cohens_d,36343,3996,363430,39960,-0.028841407344823395,-0.07282511977502967,0.01502667999348204,-0.07231923765896187,0.015534261225056328,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,delta,glasss_d,36343,3996,363430,39960,-0.0207864628294944,-0.052381794424440055,0.010990749294787614,-0.05254468196132613,0.010830762296915332,10000
movielens25m_recursive_frontier_public_v1__horizon_60,recsys,60,delta,rank_auc,36343,3996,363430,39960,0.508103704439106,0.4968177580422786,0.5198198750249162,0.49699588352993124,0.520051932459982,10000
