family,config_id,params_json,series_name,available,unavailable_reason,required_min_len,observed_min_len,control_alarm_count,event_alarm_count,n_control_users,n_event_users,control_fp,event_alarm_rate,accepted,nontrivial,band_distance
permutation_entropy,permutation_entropy__27ef1edf,"{""delay"": 1, ""order"": 3, ""threshold"": 0.65}",miss_run_fraction,True,,4,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__47b91390,"{""delay"": 1, ""order"": 3, ""threshold"": 0.8}",miss_run_fraction,True,,4,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__a3457005,"{""delay"": 2, ""order"": 3, ""threshold"": 0.2}",miss_run_fraction,True,,6,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__a5c2c177,"{""delay"": 2, ""order"": 3, ""threshold"": 0.35}",miss_run_fraction,True,,6,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__ca0b4e6d,"{""delay"": 2, ""order"": 3, ""threshold"": 0.5}",miss_run_fraction,True,,6,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__acf1699b,"{""delay"": 2, ""order"": 3, ""threshold"": 0.65}",miss_run_fraction,True,,6,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__55effee5,"{""delay"": 2, ""order"": 3, ""threshold"": 0.8}",miss_run_fraction,True,,6,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__45e93ec9,"{""delay"": 1, ""order"": 4, ""threshold"": 0.2}",miss_run_fraction,True,,5,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__57077864,"{""delay"": 1, ""order"": 4, ""threshold"": 0.35}",miss_run_fraction,True,,5,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__85cadabf,"{""delay"": 1, ""order"": 4, ""threshold"": 0.5}",miss_run_fraction,True,,5,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__642bb0a8,"{""delay"": 1, ""order"": 4, ""threshold"": 0.65}",miss_run_fraction,True,,5,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__207d4f82,"{""delay"": 1, ""order"": 4, ""threshold"": 0.8}",miss_run_fraction,True,,5,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__35d11d16,"{""delay"": 2, ""order"": 4, ""threshold"": 0.2}",miss_run_fraction,True,,8,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__5131dd23,"{""delay"": 2, ""order"": 4, ""threshold"": 0.35}",miss_run_fraction,True,,8,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__f0a4e00f,"{""delay"": 2, ""order"": 4, ""threshold"": 0.5}",miss_run_fraction,True,,8,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__2f376ec5,"{""delay"": 2, ""order"": 4, ""threshold"": 0.65}",miss_run_fraction,True,,8,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
permutation_entropy,permutation_entropy__8439a3f3,"{""delay"": 2, ""order"": 4, ""threshold"": 0.8}",miss_run_fraction,True,,8,15,6562,33777,6562,33777,1.0,1.0,False,True,0.9299999999999999
