metric,event_mean,control_mean,event_ci_lower,event_ci_upper,control_ci_lower,control_ci_upper,aligned
G,0.0606642345183543,0.0510293912186656,0.058737265858416564,0.06259120317829205,0.04910242255872786,0.05295635987860334,True
p,0.2094801043998716,0.1979173086064316,0.2071675452411836,0.2117926635585596,0.19560474944774361,0.2002298677651196,True
delta,0.5986624304456841,0.6061128024059365,0.5971723560536336,0.6001525048377346,0.604622728013886,0.607602876797987,True
