ts_utc,SPY_return,SPY_abs_return,SPY_stress_flag,QQQ_return,QQQ_abs_return,QQQ_stress_flag,IWM_return,IWM_abs_return,IWM_stress_flag,VXX_return,VXX_abs_return,VXX_stress_flag,UVXY_return,UVXY_abs_return,UVXY_stress_flag,SVXY_return,SVXY_abs_return,SVXY_stress_flag,breadth_count,breadth_share,core_downside_count,core_downside_share,vol_complex_count,vol_complex_share,breadth_event,sustained_event,raw_p_debug,cond_p_debug,G_numerator_vol_stress,G_denominator_core_stress,dominance_raw,dominance_baseline,G_debug,cond_gain_debug,delta,p,G,delta_change,p_change,cond_gain,cond_delta,cond_p,alarm_raw,alarm_gated,p_diff_abs,G_diff_abs,config_id,config_label,slice_id,kind,window_start_ts_utc,window_end_ts_utc,collapse_ts_utc
2020-03-18 08:00:00+00:00,-0.012600158412172213,0.012600158412172213,1,-0.023680995987859887,0.023680995987859887,0,-0.01518675862333918,0.01518675862333918,0,0.03388018050112063,0.03388018050112063,0,0.04879511467673581,0.04879511467673581,0,,,0,1,0.16666666666666666,3,1.0,0,0.0,0,0,0.0,0,0.04133764758892822,0.017155971007790427,2.409519552565548,1.7003676068267413,1.417058019036732,1,0.4554293662207996,0.05,15.318458339119776,-0.34893884371377254,-0.06666666666666667,1,1,0,0,0,0.05,13.901400320083043,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:01:00+00:00,-0.0009597930922291553,0.0009597930922291553,0,0.0005246131098726181,0.0005246131098726181,0,,,0,0.006948225282441989,0.006948225282441989,0,0.013082368257403942,0.013082368257403942,0,,,0,0,0.0,1,0.3333333333333333,0,0.0,0,0,0.0,0,0.010015296769922966,0.0007422031010508867,13.494010928071141,1.8610092726751888,7.2509100981889985,1,0.46672187856335234,0.05,2.139951790728475,-0.40064147927447624,-0.05,1,1,0,0,0,0.05,5.110958307460523,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:02:00+00:00,0.002418582555889337,0.002418582555889337,0,-0.000582920447866897,0.000582920447866897,0,,,0,0.0,0.0,0,0.0017574696966464742,0.0017574696966464742,0,,,0,0,0.0,1,0.3333333333333333,0,0.0,0,0,0.0,0,0.0008787348483232371,0.001500751501878117,0.5855298806218175,1.8610092726751888,0.31463028648954955,0,0.475705765804126,0.05,0.4607365098716579,-0.384408304902957,-0.05,0,1,0,0,0,0.05,0.14610622338210832,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:03:00+00:00,-0.0006249349229534573,0.0006249349229534573,0,-0.0020429016298004754,0.0020429016298004754,0,0.0,0.0,0,-0.0066383879445641725,0.0066383879445641725,0,0.0,0.0,0,,,0,0,0.0,2,0.6666666666666666,0,0.0,0,0,0.0,0,0.0033191939722820862,0.0008892788509179775,3.7324557590943717,1.8610092726751888,2.0056083620298057,1,0.48776034237718074,0.05,0.7163552596453119,-0.37423693558715737,-0.05,0,1,0,0,0,0.05,1.2892531023844938,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:04:00+00:00,-0.001877151453284931,0.001877151453284931,0,0.0020429016298004754,0.0020429016298004754,0,0.0,0.0,0,-0.0007747734175431731,0.0007747734175431731,0,,,0,0.00036543029823832285,0.00036543029823832285,0,0,0.0,1,0.3333333333333333,0,0.0,0,0,0.0,0,0.000570101857890748,0.0013066843610284689,0.4362965337747932,1.9907071331882524,0.21916660994518844,0,0.4593031289710405,0.05,0.38826760517575026,-0.4008545986900463,-0.05,0,1,0,0,0,0.05,0.16910099523056182,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:05:00+00:00,0.0018354752358122894,0.0018354752358122894,0,0.005524072776855071,0.005524072776855071,0,,,0,0.002940950962704747,0.002940950962704747,0,,,0,,,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.002940950962704747,0.0036797740063336803,0.7992205382296628,1.9907071331882524,0.4014756992151102,0,0.4025618342180276,0.05,1.3087997749540794,-0.44734775835837726,-0.05,1,1,0,0,0,0.05,0.9073240757389691,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:06:00+00:00,-0.0041345670626142805,0.0041345670626142805,1,0.00028989708856475005,0.00028989708856475005,0,,,0,,,0,,,0,,,0,1,0.16666666666666666,1,0.3333333333333333,0,0.0,0,0,0.0,0,,0.0022122320755895153,,1.781486076670963,0.4014756992151102,0,0.4092961859164778,0.03333333333333333,0.8154414988941684,-0.3488567904393855,-0.08333333333333334,0,1,0,0,0,0.03333333333333333,0.41396579967905817,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:07:00+00:00,0.00020922690734348492,0.00020922690734348492,0,,,0,,,0,,,0,,,0,,,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,,0.00020922690734348492,,,0.4014756992151102,0,0.48816509466125535,0.03333333333333333,0.07586100673834831,-0.2726120544879923,-0.08333333333333334,0,1,0,0,0,0.03333333333333333,0.3256146924767619,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:08:00+00:00,0.0,0.0,0,,,0,-0.001851762139202684,0.001851762139202684,0,,,0,0.0,0.0,0,,,0,0,0.0,1,0.3333333333333333,0,0.0,0,0,0.0,0,0.0,0.000925881069601342,0.0,,0.4014756992151102,0,0.48831056242179355,0.03333333333333333,0.22787911523093976,-0.2090940016933967,-0.08333333333333334,0,1,0,0,0,0.03333333333333333,0.17359658398417047,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
2020-03-18 08:09:00+00:00,-0.0012560185867265261,0.0012560185867265261,0,0.0022627725705932633,0.0022627725705932633,0,,,0,,,0,,,0,,,0,0,0.0,1,0.3333333333333333,0,0.0,0,0,0.0,0,,0.0017593955786598947,,,0.4014756992151102,0,0.4913944335534539,0.03333333333333333,0.6540467586303137,-0.1958456496703086,-0.08333333333333334,0,1,0,0,0,0.03333333333333333,0.25257105941520347,cfg_001339,primary_near_miss_cfg_001339,covid_mwcb_2020_03_18,event,2020-03-18 08:00:00+00:00,2020-03-19 00:00:00+00:00,2020-03-18 16:56:17+00:00
