domain_family,instantiation,detector_family,config_id,split_id,unit_scope,n_control_units_cal,n_control_alarm_units,n_event_units_cal,n_event_alarm_units,fp_grid_step,fp_cal,near_accept_flag,distance_to_band,accepted,acceptance_reason,selection_rank,selected_flag,median_lead_cal,iqr_lead_cal_low,iqr_lead_cal_high,param_json,notes
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__f5d62802,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 1, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__fcbaa85a,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""k_consec"": 1, ""subsequence_length_m"": 64, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__402bac1f,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,16,16,6,0.0263157894736842,0.4210526315789473,0,0.3510526315789473,0,above_band,,0,798.5,345.5,861.5,"{""k_consec"": 5, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__ea60ea7d,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,16,16,6,0.0263157894736842,0.4210526315789473,0,0.3510526315789473,0,above_band,,0,798.5,345.5,861.5,"{""k_consec"": 5, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__443fdb3b,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,20,16,7,0.0263157894736842,0.5263157894736842,0,0.4563157894736842,0,above_band,,0,797.0,412.5,841.5,"{""k_consec"": 5, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__3afa4889,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,21,16,7,0.0263157894736842,0.5526315789473685,0,0.4826315789473684,0,above_band,,0,816.0,334.5,868.0,"{""k_consec"": 5, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__49acbfec,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,21,16,7,0.0263157894736842,0.5526315789473685,0,0.4826315789473684,0,above_band,,0,816.0,334.5,868.0,"{""k_consec"": 5, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__bcb645f6,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,21,16,7,0.0263157894736842,0.5526315789473685,0,0.4826315789473684,0,above_band,,0,816.0,334.5,868.0,"{""k_consec"": 5, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__224632be,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,25,16,10,0.0263157894736842,0.6578947368421053,0,0.5878947368421052,0,above_band,,0,620.0,435.0,801.25,"{""k_consec"": 3, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__b9c80c48,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,25,16,10,0.0263157894736842,0.6578947368421053,0,0.5878947368421052,0,above_band,,0,620.0,435.0,801.25,"{""k_consec"": 3, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
