domain_family,instantiation,input_csv,unit_id_col,kind_col,time_col,collapse_time_col,signal_col,notes
markets,volmageddon_covid_public,results/rendered/comparators/markets_comparator_input_v1.csv,unit_id,kind,ts_utc,collapse_ts_utc,s_t,markets-only first pass; built from probe-native scalar; chosen source column(s): ['p_v7_ttl']
markets,volmageddon_covid_public_v2,results/rendered/comparators/markets_comparator_input_v2.csv,unit_id,kind,ts_utc,collapse_ts_utc,s_t,segmented markets comparator input v2; canonical_config_id=cfg_001339; one underlying market segment = one comparator unit; noncanonical Loopzero configs excluded to avoid duplicated session units; segment_minutes=120; min_segment_rows=60; signal_source_cols=['G']; signal_transforms=['log1p_gain']
