method,domain,benchmark,config,q_G_pct,q_p_pct,q_delta_pct,k,q_G,q_p,q_delta,n_reference_rows,n_event_units,n_control_units,n_event_alarmed,n_control_alarmed,control_fp,event_alarm_rate,accepted,primary
Loopzero quantile (A1),markets,volmageddon_covid_public_v2,"q=99, k=5",99.0,99.0,1.0,5,5.142639470772191,0.1166666666666666,0.17088779770211698,1120,16,38,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=50, k=1",50.0,50.0,50.0,1,0.0,0.1818181818181817,0.6060894300802027,47550,35584,4755,12575,92,0.01934805467928496,0.35338916366906475,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=50, k=3",50.0,50.0,50.0,3,0.0,0.1818181818181817,0.6060894300802027,47550,35584,4755,2681,11,0.00231335436382755,0.07534285071942447,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=50, k=5",50.0,50.0,50.0,5,0.0,0.1818181818181817,0.6060894300802027,47550,35584,4755,0,1,0.0002103049421661409,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=60, k=1",60.0,60.0,40.0,1,0.0,0.1818181818181817,0.5902063506305937,47550,35584,4755,9352,46,0.00967402733964248,0.26281474820143885,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=60, k=3",60.0,60.0,40.0,3,0.0,0.1818181818181817,0.5902063506305937,47550,35584,4755,1698,8,0.0016824395373291271,0.04771807553956835,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=60, k=5",60.0,60.0,40.0,5,0.0,0.1818181818181817,0.5902063506305937,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=70, k=1",70.0,70.0,30.0,1,0.0,0.1818181818181817,0.5742107752969774,47550,35584,4755,6304,23,0.00483701366982124,0.17715827338129497,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=70, k=3",70.0,70.0,30.0,3,0.0,0.1818181818181817,0.5742107752969774,47550,35584,4755,925,3,0.0006309148264984228,0.02599482913669065,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=70, k=5",70.0,70.0,30.0,5,0.0,0.1818181818181817,0.5742107752969774,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=75, k=1",75.0,75.0,25.0,1,0.1818181818181817,0.3333333333333333,0.5661098451849087,47550,35584,4755,760,2,0.0004206098843322818,0.021357913669064747,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=75, k=3",75.0,75.0,25.0,3,0.1818181818181817,0.3333333333333333,0.5661098451849087,47550,35584,4755,3,0,0.0,8.430755395683454e-05,False,False
