domain_family,instantiation,unit_id,parent_slice_unit_id,config_id,slice_id,kind,segment_id,segment_start_ts_utc,segment_end_ts_utc,ts_utc,collapse_ts_utc,s_t,signal_source_col,signal_transform,source_csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:11:00+00:00,2020-03-18T23:59:00Z,0.2683229309057516,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:12:00+00:00,2020-03-18T23:59:00Z,0.30825507958220444,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:13:00+00:00,2020-03-18T23:59:00Z,0.35216494141917476,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:14:00+00:00,2020-03-18T23:59:00Z,0.08055937733543635,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:15:00+00:00,2020-03-18T23:59:00Z,0.242723125035505,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:16:00+00:00,2020-03-18T23:59:00Z,0.14772900163362765,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:17:00+00:00,2020-03-18T23:59:00Z,0.7082905134537383,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:18:00+00:00,2020-03-18T23:59:00Z,0.5118626298506823,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:19:00+00:00,2020-03-18T23:59:00Z,0.5133731512765553,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:20:00+00:00,2020-03-18T23:59:00Z,1.0188206756797258,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
